#id	off	len	end	hex	readable	translation
0	0x0000	0	FD			
1	0x0001	11	F1	2020b5cfb4c926c6d6afc3	  おまえの手によって	    네 손으로
2	0x000d	0	F1			
3	0x000e	0	FD			
4	0x000f	14	F1	202020bdcd01c3c9f505f506b601	   すべての人間が	   모든 인간이
5	0x001e	0	F1			
6	0x001f	17	F1	2020f568a6b2c001b825b6013bc0daca01	  光をいだく時が来たれば	  빛을 품는 때가 오면
7	0x0031	0	F1			
8	0x0032	0	F1			
9	0x0033	0	F1			
10	0x0034	0	F1			
11	0x0035	0	F1			
12	0x0036	0	FD			
13	0x0037	12	F1	202020cabc01d2c320dcdaca	   はじめて われは	    비로소 나는
14	0x0044	0	F1			
15	0x0045	0	FD			
16	0x0046	12	F1	202020b5cfb4c0c1c4f625c6	   おまえたちと共に	    너희와 함께
17	0x0053	0	F1			
18	0x0054	14	F1	20202022b7d9bac4b601c301b7d9	   生きることができる	   살아갈 수 있다
19	0x0063	0	F1			
20	0x0064	0	F1			
21	0x0065	0	F1			
22	0x0066	0	F1			
23	0x0067	0	F1			
24	0x0068	0	FD			
25	0x0069	8	F1	2020202020bfc925	     その時	     그때
26	0x0072	0	F1			
27	0x0073	0	FD			
28	0x0074	12	F1	2020602cca22cfdaf563dcd9	  世界は生まれ変わる	세계는 다시 태어난다
29	0x0081	0	F1			
30	0x0082	0	F1			
31	0x0083	0	F1			
32	0x0084	0	F1			
33	0x0085	0	F1			
34	0x0086	12	F1	2020202020f501ddc001bf01	     頼んだぞ	     부탁하마
35	0x0093	0	F1			
36	0x0094	0	F1			
37	0x0095	0	F1			
38	0x0096	9	F1	20202020208c67997a	     ファルコ	      팔코
39	0x00a0	0	F1			
40	0x00a1	0	F1			
41	0x00a2	0	F1			
42	0x00a3	0	F1			
43	0x00a4	0	F1			
44	0x00a5	0	F1			
45	0x00a6	0	F1			
46	0x00a7	0	F1			
47	0x00a8	0	F1			
48	0x00a9	0	FE			
49	0x00aa	0	F1			
50	0x00ab	0	F1			
51	0x00ac	0	F1			
52	0x00ad	0	F1			
53	0x00ae	0	F1			
54	0x00af	0	F1			
55	0x00b0	0	FF			
56	0x00b1	12	F1	2020b6b8bcc3208c67997aca	  かくして ファルコは	   이리하여 팔코는
57	0x00be	0	F1			
58	0x00bf	12	F1	2020202020f51bf51cc9f506	     千年の間	    천 년 동안
59	0x00cc	0	F1			
60	0x00cd	13	F1	2099776db6d7202d40c4602ca6	 ルキュから 腕輪と世界を	 루큐에게서 팔찌와
61	0x00db	0	F1			
62	0x00dc	12	F1	202020f6ddd9bac4c4c5afc0	   預ることとなった	 세계를 맡게 되었다
63	0x00e9	0	F1			
64	0x00ea	0	F1			
65	0x00eb	0	F1			
66	0x00ec	0	F1			
67	0x00ed	0	F1			
68	0x00ee	0	FD			
69	0x00ef	13	F1	20208c67997ab60120bfc9f5d2	  ファルコが その後	   팔코가 그 뒤
70	0x00fd	0	F1			
71	0x00fe	14	F1	2020b2b6c6bcc3602ca6f6decd01	  いかにして世界を統べ	 어떻게 세계를 다스리고
72	0x010d	0	F1			
73	0x010e	12	F1	20202020f51aa6f6acafc0b6	    闇を払ったか	  어둠을 걷었는지
74	0x011b	0	F1			
75	0x011c	0	F1			
76	0x011d	0	F1			
77	0x011e	10	F1	2020202020bfdacaa5a5	     それは‥‥	     그것은‥‥
78	0x0129	0	F1			
79	0x012a	0	F1			
80	0x012b	0	F1			
81	0x012c	0	F1			
82	0x012d	0	F1			
83	0x012e	0	F1			
84	0x012f	0	F1			
85	0x0130	0	F1			
86	0x0131	0	F1			
87	0x0132	0	FE			
88	0x0133	0	F1			
89	0x0134	0	F1			
90	0x0135	0	F1			
91	0x0136	0	F1			
92	0x0137	0	F1			
93	0x0138	0	F1			
94	0x0139	0	FF			
95	0x013a	9	F1	202020202099776dca	     ルキュは	    루큐는
96	0x0144	0	F1			
97	0x0145	0	FD			
98	0x0146	11	F1	20202d40c927a6d3c1b2c3	  腕輪の力をもちいて	 팔찌의 힘을 써서
99	0x0152	0	F1			
100	0x0153	0	FD			
101	0x0154	8	F1	2020202020602ca6	     世界を	     세계를
102	0x015d	0	F1			
103	0x015e	0	FD			
104	0x015f	11	F1	20202020f6dfc6f6b7d2c0	    水に沈めた	물에 가라앉혔다
105	0x016b	0	F1			
106	0x016c	0	F1			
107	0x016d	0	F1			
108	0x016e	0	F1			
109	0x016f	0	F1			
110	0x0170	0	FD			
111	0x0171	11	F1	202020d4b601c399776dca	   やがてルキュは	 이윽고 루큐는
112	0x017d	0	F1			
113	0x017e	11	F1	20202020bfc9f6dfc9dec6	    その水の中に	    그 물속에
114	0x018a	0	F1			
115	0x018b	12	F1	2020202020f523f537f52bb8	     用心深く	    조심스럽게
116	0x0198	0	F1			
117	0x0199	16	F1	2020f6b4bcb261a6f620d8f5a9ddc001	  新しい命を送り込んだ	 새 생명을 흘려보냈다
118	0x01aa	0	F1			
119	0x01ab	0	F1			
120	0x01ac	0	F1			
121	0x01ad	0	F1			
122	0x01ae	0	F1			
123	0x01af	0	FE			
124	0x01b0	0	F1			
125	0x01b1	0	F1			
126	0x01b2	0	F1			
127	0x01b3	0	F1			
128	0x01b4	0	F1			
129	0x01b5	0	F1			
130	0x01b6	0	FD			
131	0x01b7	10	F1	20202020f6b4bcb261ca	    新しい命は	   새 생명은
132	0x01c2	0	F1			
133	0x01c3	0	FD			
134	0x01c4	11	F1	202020bdbad4b6c6f6e0c1	   すこやかに育ち	 건강하게 자라고
135	0x01d0	0	F1			
136	0x01d1	0	FD			
137	0x01d2	12	F1	2020f6e1daa6ccd4bcc3b2b8	  群れをふやしていく	 무리를 늘려 간다
