#id	run	addr	len	ptrs	orig_hex	orig_text	translation
0	0	0x040c00	0	0x040000			
1	1	0x040c01	43	0x040002	fa02d6dbbcb2c301bdb63ff1f1fe1cf906ed24cab220ed200405f902ed24b2b2b4ed20fe1ce94103020612	<FA><02>よろしいですか？<F1><F1><FE><1C><F9><06><ED>出はい <ED> <04><05><F9><02><ED>出いいえ<ED> <FE><1C><E9>Ａ<03><02><06><12>	여기는 어두운 숲의 입구다
2	2	0x040c2d	27	0x040004	ed3cfa01f1e9089020badaf6adf51fcaf534c3cfbedd21e90890ea	<ED>者<FA><01><F1><E9><08>ミ これ<BAD><A1F>は<A34>てません！<E9><08>ミ<EA>	무엇을 찾고 있느냐
3	3	0x040c49	17	0x040006	fa01f1f905f6b6a6f635d2c3b8c001bbb2	<FA><01><F1><F9><05><BB6>を<B35>めてください	그 검은 이미 부서졌다
4	4	0x040c5b	13	0x040008	fa01f59cf58cc301b7cfbedd21	<FA><01><A9C><A8C>できません！	마을 사람들이 모두
5	5	0x040c69	17	0x04000a	fa01ed3cf57bb4d9f400f5fab601eb2921	<FA><01><ED>者<A7B>える<F4><00><AFA>が<EB>）！	밤이 오면 문을 잠그거라
6	6	0x040c7b	13	0x04000c	fa013dd3f534afc3b2cfbedd21	<FA><01>何も<A34>っていません！	네 운명은 아직 정해지지
7	7	0x040c89	14	0x04000e	fa01babac301caf57bb4cfbedd21	<FA><01>ここでは<A7B>えません！	이 길은 성으로 이어진다
8	8	0x040c98	11	0x040010	fa01f615c3d7dac5b22121	<FA><01><B15>てられない！！	
9	9	0x040ca4	43	0x040012	ed3cfa01f9c1e908902020badaf6adf51feb19a6f1e90890f903f534c2bac4b601c301b7cfbedd21ee440c	<ED>者<FA><01><F9>ち<E9><08>ミ  これ<BAD><A1F><EB><19>を<F1><E9><08>ミ<F9><03><A34>つことができません！<EE>Ｄ<0C>	조심해라 함정이 많다
10	9	0x040ccf	2	0x040014	e91b	<E9><1B>	
11	10	0x040cd2	9	0x040016	fa02c5ddc3013f3f3f	<FA><02>なんで？？？	
12	11	0x040cdc	15	0x040018	fa02a2fe22a3a6f1bcd3cd01c4bcc0	<FA><02>「<FE>生」を<F1>しもべとした	값은 오백 골드다
13	12	0x040cec	14	0x04001a	fa02939d7d80b0b601b2cfbedd21	<FA><02>モンスターがいません！	더 이상 줄 것이 없구나
14	13	0x040cfb	2	0x04001c	e906	<E9><06>	
15	14	0x040cfe	4	0x04001e	f07eb57f	<F0>セおソ	
16	15	0x040d03	0	0x040020			
17	16	0x040d04	7		40700404040405	輪殺<04><04><04><04><05>	
18	17	0x040d0c	9		09ed20fc0420ed2c0a	<09><ED> <FC><04> <ED>界<0A>	
19	18	0x040d16	7		0607070707dedf	<06><07><07><07><07>中物	
